X,Y,name,cmt,desc,src,link1_href,link1_text,link1_type,link2_href,link2_text,link2_type,number,type
-121.702234977573,47.4957819143457,T7,,,,,,,,,,,
-121.733176980167,47.4974146897306,Dog3 Aug 1 Track,,,,,,,,,,,
-121.70225998521,47.4969497781568,T12 (SMR),,,,,,,,,,,
-121.702072527722,47.495875033,SMR Team11 8-1-2017 17:00,,,,,,,,,,,
-121.706921899167,47.4942978670567,ESAR 14 08-01-2017 17:00,,,,,,,,,,,
-121.751894747789,47.4929645005603,TCWESAR1 2017-08-01 16:33:32,,,,,,,,,,,
-121.706859992674,47.5044750549437,ESAR T6 8/1/17 1:33:27 PM,,,,,,,,,,,
-121.709519729588,47.5003277969131,ESAR T6 08-01-2017 17:30,,,,,,,,,,,
-121.682501785536,47.4965839307779,OMR T9 08-01-2017 18:30,,,,,,,,,,,
-121.719580080344,47.5031672387913,ESAR Team8,,,,,,,,,,,
-121.751141578641,47.488340613986,ESAR T19 08-01-2017 19:00,,,,,,,,,,,
-121.741716363388,47.4970832827904,KitDog 33 08-01-2017 20:00,,,,,,,,,,,
-121.703704923025,47.4921550256583,ESAR T20 21:30,,,,,,,,,,,
-121.709783076048,47.4923741920102,KCSD-Team22-08-01-2017 22:30,,,,,,,,,,,
-121.71521305417,47.4912398295173,ESAR T25 08-01-2017 22:00,,,,,,,,,,,
-121.707362481761,47.5033939325244,SMR Team21 8/1/17 23:00,,,,,,,,,,,
-121.719494893198,47.5034700237338,SMR T26 8/1/17 8:30:15 PM,,,,,,,,,,,
-121.72308247535,47.49184572605,ESAR T28 2017-08-02 01:14:51,,,,,,,,,,,
-121.702412423539,47.4962890369334,Day2-Trkr7,,,,,,,,,,,
-121.708283887923,47.4936070199449,Day2-Trkr8,,,,,,,,,,,
-121.728108113315,47.4917518844402,Day2-Trkr6,,,,,,,,,,,
-121.709144925889,47.493241872,Day2-Trkr1,,,,,,,,,,,
-121.718752440866,47.5035524589492,Day2-Trkr3,,,,,,,,,,,
-121.728001201468,47.4926949608378,Day2-Trkr5,,,,,,,,,,,
-121.716085759548,47.4910718576193,Day2-Trkr2,,,,,,,,,,,
-121.710089994265,47.4917827835402,Day2-Trkr4,,,,,,,,,,,
-121.768170854728,47.5299503262838,4x4 T43 2017-08-01 17:36:35,,,,,,,,,,,
-121.708308478011,47.4937171465907,ESAR Team23-08-01 22:53:55,,,,,,,,,,,
-121.786990477805,47.4298774249275,Helo - Day3 Morning,,,,,,,,,,,
-121.685096957046,47.5197181049974,Public-Day3-morning,,,,,,,,,,,
-121.703218594075,47.5534029652299,T9 Rd Srch,,,,,,,,,,,
-121.724857137055,47.5068357904216,Kit-Dog4-Day3-morning,,,,,,,,,,,
-121.631465185156,47.5032345150885,4x4-day3-sms-lake,,,,,,,,,,,
-121.74794977977,47.5296276160199,T4-Day3,,,,,,,,,,,
-121.726633961794,47.5066957072214,T5-Everett-day3,,,,,,,,,,,
-121.745016677476,47.4909932318491,T12a-day3,,,,,,,,,,,
-121.743571519398,47.4907885160995,T12b-day3,,,,,,,,,,,
-121.707781929013,47.4937458717166,Dog5-Day2,,,,,,,,,,,
-121.769651025355,47.5033959350356,Team14-2017-8-2-20:30,,,,,,,,,,,
-121.70996212862,47.4869037692445,ESAR T18 2017-08-02 19:50,,,,,,,,,,,
-121.706862964049,47.494186235232,ESAR T9 2017-08-02 20:09,,,,,,,,,,,
-121.720011400535,47.5032051847943,ESAR-8-2017-8-2-18-05,,,,,,,,,,,
-121.720011400535,47.5032051847943,2017-08-01 14:44:59,,,,,,,,,,,
-121.622807729124,47.5227953705996,ESAR T11 2017-08-02 2023,,,,,,,,,,,
-121.703199050389,47.5338455988094,ESAR T13a 2017-08-02 1511,,,,,,,,,,,
-121.70996212862,47.4869037692445,ESAR T13b 2017-08-02 1913,,,,,,,,,,,
-121.71657322751,47.5298308868252,TENNERIFFE AUG02,,,,,,,,,,,
-121.755172134452,47.4954103361296,Dog-11-8/2/17 22:20:59,,,,,,,,,,,
-121.720357267186,47.4927673581988,T16-Day3-out2243,,,,,,,,,,,
-121.717517522739,47.4997953250192,ESAR-KitDod12017-8-2-2300,,,,,,,,,,,
-121.710006955552,47.4914071069244,T18-day3-out2350,,,,,,,,,,,
-121.717517522739,47.4997953250192,EASR-17&18-2017-8-2-2345,,,,,,,,,,,
-121.6220055,47.5123805,Rory-4x4-day3-out2110,,,,,,,,,,,
-121.728153600584,47.4929189448937,Dog-22-2017-8-3-0025,,,,,,,,,,,
-121.736712624772,47.4970531232453,Dog13-Day3-out0030,,,,,,,,,,,
-121.704153015603,47.505513618971,T19-Day3-out2400,,,,,,,,,,,
